Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,231,United States of America,80,Bosnia and Herzegovina,5910,Export Quantity,15,Wheat,tonnes,47598.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,19,Bolivia (Plurinational State of),5910,Export Quantity,15,Wheat,tonnes,46768.41,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,118,Kuwait,5910,Export Quantity,15,Wheat,tonnes,46717,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,174,Portugal,5910,Export Quantity,15,Wheat,tonnes,46608.68,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,33,Canada,5910,Export Quantity,15,Wheat,tonnes,45542.78,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,50,Cyprus,5910,Export Quantity,15,Wheat,tonnes,41782.08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,2,Afghanistan,5910,Export Quantity,15,Wheat,tonnes,41141.43,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,215,United Republic of Tanzania,5910,Export Quantity,15,Wheat,tonnes,40886.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,150,Netherlands,5910,Export Quantity,15,Wheat,tonnes,39616.95,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,225,United Arab Emirates,5910,Export Quantity,15,Wheat,tonnes,37266.52,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,212,Syrian Arab Republic,5910,Export Quantity,15,Wheat,tonnes,33424,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,162,Norway,5910,Export Quantity,15,Wheat,tonnes,32246.94,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,91,Guyana,5910,Export Quantity,15,Wheat,tonnes,31814.88,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,27,Bulgaria,5910,Export Quantity,15,Wheat,tonnes,31170.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,13,Bahrain,5910,Export Quantity,15,Wheat,tonnes,27463.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,191,Saint Vincent and the Grenadines,5910,Export Quantity,15,Wheat,tonnes,26507.07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,32,Cameroon,5910,Export Quantity,15,Wheat,tonnes,26277.42,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,137,Mauritius,5910,Export Quantity,15,Wheat,tonnes,26069,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,116,Democratic People's Republic of Korea,5910,Export Quantity,15,Wheat,tonnes,26052.43,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,141,Mongolia,5910,Export Quantity,15,Wheat,tonnes,25846.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,28,Myanmar,5910,Export Quantity,15,Wheat,tonnes,24584,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,123,Liberia,5910,Export Quantity,15,Wheat,tonnes,23431.43,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,3,Albania,5910,Export Quantity,15,Wheat,tonnes,22367.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,134,Malta,5910,Export Quantity,15,Wheat,tonnes,21892.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,7,Angola,5910,Export Quantity,15,Wheat,tonnes,21825,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,46,Congo,5910,Export Quantity,15,Wheat,tonnes,21750.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,14,Barbados,5910,Export Quantity,15,Wheat,tonnes,20939.59,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,208,Tajikistan,5910,Export Quantity,15,Wheat,tonnes,20771.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,226,Uganda,5910,Export Quantity,15,Wheat,tonnes,19316.94,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,130,Malawi,5910,Export Quantity,15,Wheat,tonnes,18603.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,23,Belize,5910,Export Quantity,15,Wheat,tonnes,18143.56,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,104,Ireland,5910,Export Quantity,15,Wheat,tonnes,17537.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
